source_text,target_text,source_lang,target_lang,origin,detected_lang
All components of the safety roller shutters are made of aluminium or stainless steel with extra robust wall thicknesses.,All components of the safety roller shutters are made of aluminum or stainless steel with extra thick walls.,ita_Latn,eng_Latn,pdf_mining,en
With passive house Dr. Feist its an even higher insulating variant available.,"With the Passive House concept developed by Dr. Feist, there is an even higher insulating variant available.",ita_Latn,eng_Latn,pdf_mining,en
With passive house Dr. Feist its an even higher insulating variant available.,"Avec la concept de maison passive de Dr. Feist, il y a une variante d'isolation supplémentaire disponible.",ita_Latn,fra_Latn,pdf_mining,en
With passive house Dr. Feist its an even higher insulating variant available.,"Con la concepción de casa pasiva de Dr. Feist, hay una variante de aislamiento adicional disponible.",ita_Latn,spa_Latn,pdf_mining,en
Allows you to program the hours of automatic opening and closing of the roller shutters.,Allows you to program the opening and closing hours of roller shutters automatically.,ita_Latn,eng_Latn,pdf_mining,en
"We work with customers ranging from small, specialized window producers to major international producers.","We work with customers ranging from small, specialized window producers to major international ones.",ita_Latn,eng_Latn,pdf_mining,en
® OL2000 with mosquito net A TYPE OF INSTALLATION The whole roller shutter is mounted on the building facade.,The OL2000 roller shutter with mosquito net A is installed on the building facade in its entirety.,ita_Latn,eng_Latn,pdf_mining,en
"▪ Rich, contemporary look ▪ Premium performance: up to DP50 ▪ High-end glass options ▪ Latest integrated locking and latching hardware ▪ Magnetic seal CONFIGURATIONS ——— ▪ Double Hung ▪ Horizontal Slider ▪ Picture Window STANDARD SOLID COLORS ——— STANDARD LAMINATE COLORS ——— White Sandstone Clay Lt Oak Dark Oak Natl Cherry Cherry Natl Maple Winchester Lt Oak Choc Brown Metallic Midnight Wicker Bronze 279 SERIES ▪ HIGH PERFORMANCE WINDOW SYSTEM The 279 Series windows from Deceuninck represent a high-end and highly technical approach to window design.","""▪ Modern, rich look ▪ Premium performance: up to DP50 ▪ High-end glass options ▪ Latest integrated locking and latching hardware ▪ Magnetic seal CONFIGURATIONS ——— ▪ Double Hung ▪ Horizontal Slider ▪ Picture Window STANDARD SOLID COLORS ——— STANDARD LAMINATE COLORS ——— White, Sandstone, Clay, Light Oak, Dark Oak, National Cherry, Cherry, National Maple, Winchester, Light Oak, Chocolate Brown, Metallic, Midnight, Wicker, Bronze 279 SERIES ▪ HIGH PERFORMANCE WINDOW SYSTEM The 279 Series windows from Deceuninck offer a high-end and highly technical approach to window design.""",ita_Latn,eng_Latn,pdf_mining,en
"▪ Rich, contemporary look ▪ Premium performance: up to DP50 ▪ High-end glass options ▪ Latest integrated locking and latching hardware ▪ Magnetic seal CONFIGURATIONS ——— ▪ Double Hung ▪ Horizontal Slider ▪ Picture Window STANDARD SOLID COLORS ——— STANDARD LAMINATE COLORS ——— White Sandstone Clay Lt Oak Dark Oak Natl Cherry Cherry Natl Maple Winchester Lt Oak Choc Brown Metallic Midnight Wicker Bronze 279 SERIES ▪ HIGH PERFORMANCE WINDOW SYSTEM The 279 Series windows from Deceuninck represent a high-end and highly technical approach to window design.","""▪ Look riche et contemporain ▪ Performance de pointe : jusqu'à DP5",ita_Latn,fra_Latn,pdf_mining,en
"surface 6,5m width 0,35 - 3,7m, 2 max.","Surface: 6.5m wide, 0.35m to 3.7m, maximum 2.",ita_Latn,eng_Latn,pdf_mining,en
"The innovati- ve flow control technology of the regulating flaps provides sensitive airflow regulation, which limits the airflow in the event of high wind loads and con- sequently prevents draughts.","The innovative flow control technology of the regulating flaps ensures sensitive airflow regulation, limiting the airflow when subjected to high wind loads and thereby preventing drafts.",ita_Latn,eng_Latn,pdf_mining,en
"The innovati- ve flow control technology of the regulating flaps provides sensitive airflow regulation, which limits the airflow in the event of high wind loads and con- sequently prevents draughts.","La technologie de contrôle de débit innovatrice des ailes régulateures assure une régulation de l'écoulement sensible, limitant le débit d'air en cas de charges de vent élevées et évitant ainsi les bouillons.",ita_Latn,fra_Latn,pdf_mining,en
"The innovati- ve flow control technology of the regulating flaps provides sensitive airflow regulation, which limits the airflow in the event of high wind loads and con- sequently prevents draughts.","La tecnología de control de flujo innovadora de las paletas reguladoras garantiza una regulación del flujo sensible, limitando el flujo de aire en presencia de cargas de viento altas y por lo tanto evitando borrasquear.",ita_Latn,spa_Latn,pdf_mining,en
"Any cleaning agent used for more stubborn marks should be rinsed thoroughly • Drainage paths must be cleared of debris • Protective tape on the framing should be removed as soon as possible, old tape can be difficult to remove • The colour of any finishing trims used should be the same as the Deceuninck profile 10.","Any cleaning agent used for tough stains should be rinsed thoroughly. • Drainage paths need to be cleared of debris. • Protective tape on the framing should be removed promptly, old tape can be hard to remove. • The color of any finishing trims used should match the Deceuninck profile 10.",ita_Latn,eng_Latn,pdf_mining,en
"Any cleaning agent used for more stubborn marks should be rinsed thoroughly • Drainage paths must be cleared of debris • Protective tape on the framing should be removed as soon as possible, old tape can be difficult to remove • The colour of any finishing trims used should be the same as the Deceuninck profile 10.","Tout agent de nettoyage utilisé pour des taches plus résistantes doit être rincé exhaustivement. • Voies d'évacuation doivent être déblocées de débris. • La papille adhésive sur le cadre doit être retirée le plus tôt possible, le vieil adhésif peut être difficile à retirer. • La couleur de tous les renforts de finition utilisés doit être la même que le profil Deceuninck 10.",ita_Latn,fra_Latn,pdf_mining,en
51 13 40 27 25 233 244 300 300 300 51 13 40 27 233 300 25 244 300 300 200 100 300 200 100 25 244 300 51 13 40 27 233 300 300 100 100 100 25 244 300 51 13 40 27 233 300 14 TECHNICAL DATA Masonry support and & installation examples Masonry support Installation situation – examples The standard masonry support is 90 mm (minimum 60 mm).,"""51 13 40 27 25 233 244 300 300 300 51 13 40 27 233 300 25 244 300 300 200 100 300 200 100 25 244 300 51 13 40 27 233 300 300 100 100 100 25 244 300 51 13 40 27 233 300 14",ita_Latn,eng_Latn,pdf_mining,en
"surface 4,3m 2 width 0,35 - 1,6m, max.","Surface: 4.3m x 2.0m, width: 0.35m to 1.6m, maximum.",ita_Latn,eng_Latn,pdf_mining,en
www.beck-heun.tech 7 ROKA-TOP® 2 PLUS Closing cover box with EXTRA performance (PLUS) EXTRA (PLUS) features: Thermal insulation: Thermal insulation values improved by up to 20 percent Noise protection: Increase in airborne sound insulation by up to 15 percent Air-tightness: Tested air-tightness guaranteed Installation convenience: Installed in just one step Stability: Enables a force-fit connection with the window THE INSTALLATION MAKES THE DIFFERENCE The closing cover box is popular due to the good accessibility of the box interior from the room side.,"""www.beck-heun.tech 7 ROKA-TOP® 2 PLUS Closing cover box with EXTRA performance:",ita_Latn,eng_Latn,pdf_mining,en
www.beck-heun.tech 7 ROKA-TOP® 2 PLUS Closing cover box with EXTRA performance (PLUS) EXTRA (PLUS) features: Thermal insulation: Thermal insulation values improved by up to 20 percent Noise protection: Increase in airborne sound insulation by up to 15 percent Air-tightness: Tested air-tightness guaranteed Installation convenience: Installed in just one step Stability: Enables a force-fit connection with the window THE INSTALLATION MAKES THE DIFFERENCE The closing cover box is popular due to the good accessibility of the box interior from the room side.,"""www.beck-heun.tech 7 ROKA-TOP® 2 PLUS Couvercle de fermeture boîte avec performance supplémentaire :",ita_Latn,fra_Latn,pdf_mining,en
"Exterior Vene- tian blinds have an advantage over outdoor blinds due to EXTERIOR VENETIAN BLIND WITH C-SHAPED SLAT Soft lines thanks to flexible slats AF 60 Exterior Venetian blind flat, 60 millimetres wide.","Exterior Venetian blinds with C-shaped slats have an advantage over outdoor blinds due to their soft lines, thanks to flexible slats of AF 60 Exterior Venetian blind, which are flat and 60 millimeters wide.",ita_Latn,eng_Latn,pdf_mining,en
"Exterior Vene- tian blinds have an advantage over outdoor blinds due to EXTERIOR VENETIAN BLIND WITH C-SHAPED SLAT Soft lines thanks to flexible slats AF 60 Exterior Venetian blind flat, 60 millimetres wide.","Les volets extérieurs à slats C de type Venetien ont l'avantage sur les volets extérieurs grâce à leurs lignes souples en raison des lames souples d'AF 60 des volets Venetiens extérieurs, plats et larges de 60 millimètres.",ita_Latn,fra_Latn,pdf_mining,en
"Exterior Vene- tian blinds have an advantage over outdoor blinds due to EXTERIOR VENETIAN BLIND WITH C-SHAPED SLAT Soft lines thanks to flexible slats AF 60 Exterior Venetian blind flat, 60 millimetres wide.","Las persianas venecianas exteriores con perfiles C tienen la ventaja sobre las persianas exteriores gracias a sus líneas suaves, debido a las láminas flexibles de AF 60 de las persianas venecian",ita_Latn,spa_Latn,pdf_mining,en
"Even if you want to replace old windows with Kömmerling 76 double seal, this is quite straightforward.","""Replacing old windows with Kömmerling 76 double seal is quite straightforward, even if that's what you intend to do.""",ita_Latn,eng_Latn,pdf_mining,en
"Even if you want to replace old windows with Kömmerling 76 double seal, this is quite straightforward.","""Remplacer des fenêtres anciennes par des serrures Kömmerling 76 à double serrage est assez simple, quel que soit votre intention.""",ita_Latn,fra_Latn,pdf_mining,en
"Even if you want to replace old windows with Kömmerling 76 double seal, this is quite straightforward.","""Sustituir ventanas viejas por sellados dobles Kömmerling 76 es bastante sencillo, independientemente de lo que quieras hacer.""",ita_Latn,spa_Latn,pdf_mining,en
Savings of up to 50 per cent can also be achieved when cooling.,Savings of up to 50% can be achieved during cooling.,ita_Latn,eng_Latn,pdf_mining,en
INTEGRATED MOSQUITO NET Possibility to choose a box with an integrated mosquito net.,"""Mosquito Net Integrated: Option for a box with an integrated mosquito net.""",ita_Latn,eng_Latn,pdf_mining,en
The MX1200 shutter on the wall.,The MX1200 shutter on the wall.,ita_Latn,eng_Latn,pdf_mining,en
Available in one or ﬁve-channel versions.,Available in one or five-channel versions.,ita_Latn,eng_Latn,pdf_mining,en
"Select from a variety of highly durable, low-maintenance colors and optional ﬁnishes.","Choose from a range of highly durable, low-maintenance colors and optional finishes.",ita_Latn,eng_Latn,pdf_mining,en
"Select from a variety of highly durable, low-maintenance colors and optional ﬁnishes.","Choisissez parmi une gamme de couleurs très durables et de finitions faciles à entretenir, optionnelles.",ita_Latn,fra_Latn,pdf_mining,en
"Select from a variety of highly durable, low-maintenance colors and optional ﬁnishes.",Elige de una gama de colores muy duraderos y opcionales acabados con bajos mantenimientos.,ita_Latn,spa_Latn,pdf_mining,en
PVC-U AND ALUMINIUM: A PERFECT CONNECTION Imagine having a material as elegant as aluminium – but with the high thermal and sound insulation of PVC-U – wouldn't it be perfect?,"""PVC-U and Aluminium: A Perfect Connection. Imagine having a material as elegant as aluminium, but with the high thermal and sound insulation of PVC-U. Wouldn't that be ideal?""",ita_Latn,eng_Latn,pdf_mining,en
"In this regard for product management the follow- ing ­objective always applies, to provide the greatest possible benefit for all customers – for the planners and ­processors, as well as for the dealers and users.","In this respect, product management aims to provide the greatest possible benefit to all customers – for the planners and processors, as well as for the dealers and users.",ita_Latn,eng_Latn,pdf_mining,en
"In this regard for product management the follow- ing ­objective always applies, to provide the greatest possible benefit for all customers – for the planners and ­processors, as well as for the dealers and users.","Dans ce domaine, la gestion des produits a pour objectif constant de fournir le plus grand bénéfice possible à tous les clients – pour les concepteurs et les traitants, ainsi qu'aux revendeurs et aux utilisateurs.",ita_Latn,fra_Latn,pdf_mining,en
"In this regard for product management the follow- ing ­objective always applies, to provide the greatest possible benefit for all customers – for the planners and ­processors, as well as for the dealers and users.","En este aspect, el manejo de productos tiene siempre el objetivo de proporcionar el mayor beneficio posible a todos los clientes – para los planificadores y procesadores, así como para los distribuidores y usuarios.",ita_Latn,spa_Latn,pdf_mining,en
"Its products provide years of quality service, after which they can be fully recycled.","Its products ensure high-quality service for years, after which they can be completely recycled.",ita_Latn,eng_Latn,pdf_mining,en
"Improved sound insulation Combined with high-quality functional glazing, the Kömmerling 76 double seal system offers you outstanding noise protection of up to 47 dB.","Enhanced sound insulation. The Kömmerling 76 double seal system, in combination with high-functioning glazing, provides you with exceptional noise reduction of up to 47 dB.",ita_Latn,eng_Latn,pdf_mining,en
"Improved sound insulation Combined with high-quality functional glazing, the Kömmerling 76 double seal system offers you outstanding noise protection of up to 47 dB.","Insulation sonore améliorée. Le système à double serrure Kömmerling 76, associé à une verrerie fonctionnelle de haute qualité, vous offre une protection sonore exceptionnelle allant jusqu'à 47 dB.",ita_Latn,fra_Latn,pdf_mining,en
"Improved sound insulation Combined with high-quality functional glazing, the Kömmerling 76 double seal system offers you outstanding noise protection of up to 47 dB.","Aislamiento acústico mejorado. El sistema doble sellado Kömmerling 76, asociado a una vidriera funcional de alta calidad, te ofrece una protección sonora sobresaliente hasta los 47 dB.",ita_Latn,spa_Latn,pdf_mining,en
7 9 OUTDOOR BLINDS WITH Z-SHAPED SLATS The high-quality HELLA outdoor blinds with Z-shaped slats are the perfect shading system for modern residential and of- fice buildings.,"""7 9 OUTDOOR BLINDS WITH Z-SHAPED SLATS. The high-quality HELLA outdoor blinds with Z-shaped slats are the ideal shading system for modern residential and commercial buildings.""",ita_Latn,eng_Latn,pdf_mining,en
"heroal FMR 90° heroal FMR 45° heroal FMR HC heroal GKSE heroal FMR 20° For instances in which specific requirements are placed on stability, heroal developed the heroal GKSE front-mounted box.","For instances requiring specific stability, heroal developed the heroal GKSE front-mounted box.",ita_Latn,eng_Latn,pdf_mining,en
"The gasket improves sound insulation, reduces traffi c noise and other external infl uences, among other things.","The gasket enhances acoustic insulation, minimizes traffic noise and other external influences, among other things.",ita_Latn,eng_Latn,pdf_mining,en
"The gasket improves sound insulation, reduces traffi c noise and other external infl uences, among other things.","Le joint améliore l'isolation acoustique, réduit les bruits de trafic et d'influences extérieures, entre autres choses.",ita_Latn,fra_Latn,pdf_mining,en
"The gasket improves sound insulation, reduces traffi c noise and other external infl uences, among other things.","La juntilla mejora la aislamiento acústico, reduce ruidos de tráfico y otras influencias exteriores, entre otras cosas.",ita_Latn,spa_Latn,pdf_mining,en
It is installed in record time and in just one step.,It is installed in a record time and in one easy step.,ita_Latn,eng_Latn,pdf_mining,en
Important: • Gasket should not elongate during installation.,Important: • The gasket should not elongate during installation.,ita_Latn,eng_Latn,pdf_mining,en
UP TO 6 METERS IN LENGTH Large window façades are be- coming more and more popu- lar due to their high light in- cidence and the free view of the surrounding nature.,Windows façades up to 6 meters in length are increasingly popular due to their high light incidence and the unobstructed view of the surrounding nature.,ita_Latn,eng_Latn,pdf_mining,en
UP TO 6 METERS IN LENGTH Large window façades are be- coming more and more popu- lar due to their high light in- cidence and the free view of the surrounding nature.,Façades de fenêtres allant jusqu'à 6 mètres de longueur deviennent de plus en plus populaires à cause de leur grande incidence lumineuse et de la vue libre de la nature environnante.,ita_Latn,fra_Latn,pdf_mining,en
UP TO 6 METERS IN LENGTH Large window façades are be- coming more and more popu- lar due to their high light in- cidence and the free view of the surrounding nature.,Ventanas fachadas de hasta 6 metros de longitud se están volviendo más y más populares debido a su alta incidencia luminosa y la vista libre de la naturaleza circundante.,ita_Latn,spa_Latn,pdf_mining,en
axle heroal roller shutter slats System features and comparison heroal roller shutter systems | 11 10 | heroal roller shutter systems heroal FMR Q heroal panel systems heroal FMR and heroal GKSE roll-formed front-mounted panel systems heroal front-mounted panel systems are ideal for retrofitting in the window reveal or on the curtain wall.,"""Features and comparison of Heroal roller shutter systems: Heroal roller shutter systems, Heroal FMR Q, Heroal panel systems (Heroal FMR and Heroal GKSE), and Heroal front-mounted panel systems are ideal for retrofitting in the window reveal or on the curtain wall.""",ita_Latn,eng_Latn,pdf_mining,en
axle heroal roller shutter slats System features and comparison heroal roller shutter systems | 11 10 | heroal roller shutter systems heroal FMR Q heroal panel systems heroal FMR and heroal GKSE roll-formed front-mounted panel systems heroal front-mounted panel systems are ideal for retrofitting in the window reveal or on the curtain wall.,"""Caractéristiques et comparaison des systèmes de volets roulants Heroal : Les systèmes de volets roulants Heroal, Heroal FMR Q, systèmes de panneaux Heroal (Heroal FMR et Heroal GKSE), et systèmes de panneaux frontaux montés sur le mur Heroal sont idéaux pour la rétrofitting dans la niche de fenêtre ou sur le mur rideau.""",ita_Latn,fra_Latn,pdf_mining,en
axle heroal roller shutter slats System features and comparison heroal roller shutter systems | 11 10 | heroal roller shutter systems heroal FMR Q heroal panel systems heroal FMR and heroal GKSE roll-formed front-mounted panel systems heroal front-mounted panel systems are ideal for retrofitting in the window reveal or on the curtain wall.,"""Características y comparación de sistemas de rollo de blindados Hero",ita_Latn,spa_Latn,pdf_mining,en
Wall brackets are included in the package in the event of wall mounting.,Wall brackets are included in the package for wall mounting.,ita_Latn,eng_Latn,pdf_mining,en
"area 16,0 m - ZF3000 Type of the box EPS 365 mm with blocking bracket (cm) Max.",Area: 16.0 m² - Box type EPS 365 mm with blocking bracket (cm) Max.,ita_Latn,eng_Latn,pdf_mining,en
"After manually raising the SEE-NHK drive with the winder, it remembers the limit points automatically.","After manually raising the SEE-NHK drive with the winder, it automatically remembers the limit points.",ita_Latn,eng_Latn,pdf_mining,en
Upward fastening of the window is not possible without the correct choice of box with a corresponding fastening concept.,Raising the window without the right choice of box and corresponding fastening system is not possible.,ita_Latn,eng_Latn,pdf_mining,en
"Providing elegance and an abundance of perceived space, its high-tech operating system enables you to move unusually wide doors easily, as if floating on air.","""Offering elegance and a sense of spaciousness, its advanced operating system allows you to effortlessly move wide doors, as if they were floating in the air.""",ita_Latn,eng_Latn,pdf_mining,en
"Providing elegance and an abundance of perceived space, its high-tech operating system enables you to move unusually wide doors easily, as if floating on air.","""Offrant de la finesse et une grande perception d'espace, son système d'exploitation high-tech vous permet de déplacer des portes larges avec facilité, comme si elles volaient dans l'air.""",ita_Latn,fra_Latn,pdf_mining,en
"Providing elegance and an abundance of perceived space, its high-tech operating system enables you to move unusually wide doors easily, as if floating on air.","""Proporcionando elegancia y una amplia percepción de espacio, su sistema operativo de alta tecnología permite desplazar puertas extraordinariamente anchas con facilidad, como si estuieran volando en el aire.""",ita_Latn,spa_Latn,pdf_mining,en
"2.5 m², a strap-pull gearbox (at extra cost) is automatically installed so as not to exceed the permissible tensile forces (class 1 according to EN 13659:2015-07) and to increase operating comfort (possible up to an element size of approx.","2.5 m², a strap-pull gearbox (at an additional cost) is installed automatically to prevent exceeding the permissible tensile forces (Class 1 according to EN 13659:2015-07) and to enhance operating comfort (up to an approximate element size).",ita_Latn,eng_Latn,pdf_mining,en
"2.5 m², a strap-pull gearbox (at extra cost) is automatically installed so as not to exceed the permissible tensile forces (class 1 according to EN 13659:2015-07) and to increase operating comfort (possible up to an element size of approx.","2,5 m², une boîte de vitesses à tirre de ceinture (à frais supplémentaires) est installée de manière automatique pour ne pas dépasser les forces permises (classe 1 d'après EN 13659:2015-07) et pour accroître la confort opérationnel (jusqu'à une taille d'élément approximative).",ita_Latn,fra_Latn,pdf_mining,en
"2.5 m², a strap-pull gearbox (at extra cost) is automatically installed so as not to exceed the permissible tensile forces (class 1 according to EN 13659:2015-07) and to increase operating comfort (possible up to an element size of approx.","2,5 m², se instala automáticamente una caja de cambios de",ita_Latn,spa_Latn,pdf_mining,en
"For instance, by reducing emissions, making careful and efficient use of resources and adopting a targeted approach to recycling.","For example, by reducing emissions, using resources wisely and efficiently, and implementing targeted recycling strategies.",ita_Latn,eng_Latn,pdf_mining,en
"The CC1000 shutter box has a revision hatch from the front, and therefore it can be build over only from the outside.","The CC1000 shutter box has a hatch for access at the front, allowing it to be built from the outside only.",ita_Latn,eng_Latn,pdf_mining,en
Wing rebate and overlap gaskets can be cut with this hand tool ( irrespective of material ).,Wing rebate and overlap gaskets can be cut with this hand tool (regardless of material).,ita_Latn,eng_Latn,pdf_mining,en
EXAMPLE: The manuals for connecting the motors to power supply are included in the assembly and ‘operating instructions for the tubular motor’ and section (only qualified and authorized electricians may carry out the connections).,"EXAMPLE: The manuals for connecting motors to the power supply are included in the assembly instructions and the ""operating instructions for the tubular motor"" only. (Qualified and authorized electricians should perform the connections.)",ita_Latn,eng_Latn,pdf_mining,en
EXAMPLE: The manuals for connecting the motors to power supply are included in the assembly and ‘operating instructions for the tubular motor’ and section (only qualified and authorized electricians may carry out the connections).,"EXEMPLE : Les instructions pour la connexion des moteurs à la source d'alimentation figurent dans les instructions d'assemblage et dans les ""instructions d'exploitation du moteur tubulaire"" uniquement. (Seuls les électriciens qualifiés et autorisés peuvent effectuer les connexions.)",ita_Latn,fra_Latn,pdf_mining,en
EXAMPLE: The manuals for connecting the motors to power supply are included in the assembly and ‘operating instructions for the tubular motor’ and section (only qualified and authorized electricians may carry out the connections).,"EJEMPLO: Las instrucciones para conectar motores a la fuente de energía están incluidas en las instrucciones de montaje y en las ""instrucciones de operación del motor tubular"" solo. (Sólo electricistas calificados y autor",ita_Latn,spa_Latn,pdf_mining,en
Then the motor bearing and shaft bearing can be fastened on the partition boards themselves.,Then the motor bearing and shaft bearing can be fixed directly onto the partition boards.,ita_Latn,eng_Latn,pdf_mining,en
"PVC itself has proven durable, low maintenance, thermally efficient and therefore a cost effective solution for numerous construction projects.","PVC itself has proven to be durable, low maintenance, thermally efficient, and therefore a cost-effective solution for numerous construction projects.",ita_Latn,eng_Latn,pdf_mining,en
"PVC itself has proven durable, low maintenance, thermally efficient and therefore a cost effective solution for numerous construction projects.","Le PVC à lui-même a démontré sa durabilité, son faible entretien, sa efficacité thermique et, par conséquent, une solution coûteuse à faible coût pour de nombreux projets de construction.",ita_Latn,fra_Latn,pdf_mining,en
"PVC itself has proven durable, low maintenance, thermally efficient and therefore a cost effective solution for numerous construction projects.","El PVC en sí ha demostrado ser duradero, de bajo mantenimiento, eficiente termal y, por lo tanto, una solución económica efectiva para numerosos proyectos de construcción.",ita_Latn,spa_Latn,pdf_mining,en
