source_text,target_text,source_lang,target_lang,term_keyword,detected_lang
"""Il nodo primario del sistema di chiusura delle finestre deve essere accuratamente assemblato e verificato per assicurare la massima efficienza termica e l'isolamento acustico."" (The primary node of the closing system for windows must be carefully assembled and checked to ensure maximum thermal efficiency and acoustic insulation.)","""The primary node of the window closing system assembly must be accurately performed and verified to ensure maximum thermal efficiency and acoustic insulation.""",ita_Latn,eng_Latn,nodo primario,en
"""Il nodo primario del sistema di chiusura delle finestre deve essere accuratamente assemblato e verificato per assicurare la massima efficienza termica e l'isolamento acustico."" (The primary node of the closing system for windows must be carefully assembled and checked to ensure maximum thermal efficiency and acoustic insulation.)","""Le nœud primaire du système de fermeture des fenêtres doit être exécuté et vérifié avec soin pour assurer une efficacité thermique et acoustique maximale."" (The primary node of the window closing system must be executed and checked carefully to ensure maximum thermal efficiency and acoustic insulation.)",ita_Latn,fra_Latn,nodo primario,en
"""Il nodo primario del sistema di chiusura delle finestre deve essere accuratamente assemblato e verificato per assicurare la massima efficienza termica e l'isolamento acustico."" (The primary node of the closing system for windows must be carefully assembled and checked to ensure maximum thermal efficiency and acoustic insulation.)","""El nodo primario del sistema de cierre de las ventanas debe ser ejecutado y comprobarse con precaución para garantizar una eficiencia termal y acústica máxima."" (The primary node of",ita_Latn,spa_Latn,nodo primario,en
"[Italian explanation of ""nodo primario""]",[English explanation,ita_Latn,eng_Latn,nodo primario,en
"[Italian explanation of ""nodo primario""]","La connexion du nœud primaire du système de fermeture au châssis de la fenêtre doit être effectuée avec soin et précision, garantissant que le nœud primaire reste solidement fixé pendant l'installation.",ita_Latn,fra_Latn,nodo primario,en
"[Italian explanation of ""nodo primario""]","La conexión del nodo primario del sistema de cerramiento en el marco de la ventana debe realizarse con precisión y cuidado, asegurándose de que el nodo primario quede suelto y fijo durante la instalación.",ita_Latn,spa_Latn,nodo primario,en
"(Italian sentence with the term ""nodo secondario"")",(English technical translation),ita_Latn,eng_Latn,nodo secondario,en
"(Italian sentence with the term ""nodo secondario"")",(French technical translation),ita_Latn,fra_Latn,nodo secondario,en
"(Italian sentence with the term ""nodo secondario"")",(Spanish technical translation),ita_Latn,spa_Latn,nodo secondario,en
[Italian Sentence],[English Technical Translation],ita_Latn,eng_Latn,controtelaio,en
[Italian Sentence],[French Technical Translation],ita_Latn,fra_Latn,controtelaio,en
[Italian Sentence],[Spanish Technical Translation],ita_Latn,spa_Latn,controtelaio,en
[Italian Sentence],[English Technical Translation,ita_Latn,eng_Latn,controtelaio,en
[Italian Sentence],"La fenêtre haute performance énergétique de Roverplastik doit être installée avec soin, surtout lors de la connexion du contrechambranement, pour assurer une isolation thermique et acoustique adéquate.",ita_Latn,fra_Latn,controtelaio,en
[Italian Sentence],"La ventana de Roverplastik de alta eficiencia energética debe instalarse con cuidado, en especial durante la conexión del controtelaio, para garantizar una aislación térmica y acústica adecuada.",ita_Latn,spa_Latn,controtelaio,en
"(This translates to ""The moisture barrier of our high-energy-efficient vacuum windows is made of a modern and resistant material, ensuring excellent thermal insulation."")","The moisture barrier of our high-energy-efficient vacuum windows is made of a modern and resistant material, ensuring excellent thermal insulation.",ita_Latn,eng_Latn,barriera al vapore,en
"(This translates to ""The moisture barrier of our high-energy-efficient vacuum windows is made of a modern and resistant material, ensuring excellent thermal insulation."")","La barrière à vapeur de nos fenêtres à vide de haute efficacité énergétique est faite d'un matériau moderne et résistant, assurant une excellente isolation thermique.",ita_Latn,fra_Latn,barriera al vapore,en
"(This translates to ""The moisture barrier of our high-energy-efficient vacuum windows is made of a modern and resistant material, ensuring excellent thermal insulation."")","La barrera al vapor de nuestras ventanas a vacío de alta eficiencia energética está hecha de un moderno y resistente material, asegurando una excelente aislamiento termico.",ita_Latn,spa_Latn,barriera al vapore,en
The installation of thermally insulating windows requires the creation of a suitable moisture barrier to prevent the transfer of moisture into the interior,The installation of thermally insulating windows requires the creation of an adequate moisture barrier to prevent the transfer of moisture into the interior and ensure maximum thermal efficiency.,ita_Latn,eng_Latn,barriera al vapore,en
The installation of thermally insulating windows requires the creation of a suitable moisture barrier to prevent the transfer of moisture into the interior,L'installation de fenêtres isolantes thermiques exige la création d'une barrière adaptée à l'humidité pour empêcher la migration de l'humidité vers l'intérieur et garantir la plus grande efficacité thermique.,ita_Latn,fra_Latn,barriera al vapore,en
The installation of thermally insulating windows requires the creation of a suitable moisture barrier to prevent the transfer of moisture into the interior,La instalación de ventanas termoinsuladas requiere la creación de una barrera adecuada al agua para impedir la transferencia de agua a interiores y garantizar la máxima eficiencia termal.,ita_Latn,spa_Latn,barriera al vapore,en
"""La barriera al vapore incorporata nella finestra nuova deve essere esattamente congiunga con la barriera esistente per assicurare l'efficienza termica massima."" (The vapor barrier integrated into the new window should be exactly connected to the existing barrier to ensure maximum thermal efficiency.)","""The new window's vapor barrier must be perfectly connected to the existing barrier to secure maximum thermal efficiency.""",ita_Latn,eng_Latn,barriera al vapore,en
"""La barriera al vapore incorporata nella finestra nuova deve essere esattamente congiunga con la barriera esistente per assicurare l'efficienza termica massima."" (The vapor barrier integrated into the new window should be exactly connected to the existing barrier to ensure maximum thermal efficiency.)","""La barrière à vapeur intégrée dans la nouvelle fenêtre doit être parfaitement connectée à la barrière existante pour assurer une efficacité thermique maximale."" (La nouvelle fenêtre doit avoir une barrière à vapeur intégrée qui soit parfaitement connectée à la barrière existante pour assurer une efficacité thermique maximale.)",ita_Latn,fra_Latn,barriera al vapore,en
"""La barriera al vapore incorporata nella finestra nuova deve essere esattamente congiunga con la barriera esistente per assicurare l'efficienza termica massima."" (The vapor barrier integrated into the new window should be exactly connected to the existing barrier to ensure maximum thermal efficiency.)","""La capa de vapor integrada en la nueva ventana debe ser perfectamente conectada con la capa existente para garantizar una eficiencia termal máxima."" (La nueva ventana de",ita_Latn,spa_Latn,barriera al vapore,en
"La barriera al vapore de nuestras finestre termicamente innovativas garantiza una elevada eficiencia termica, evitando la infiltración de vapor y manteniendo una diferencia de presión constante entre el interior y el exterior.",The moisture barrier of our thermally innovative windows ensures high thermal efficiency by preventing the infiltration of steam and maintaining a constant pressure difference between the interior and exterior.,ita_Latn,eng_Latn,barriera al vapore,es
"La barriera al vapore de nuestras finestre termicamente innovativas garantiza una elevada eficiencia termica, evitando la infiltración de vapor y manteniendo una diferencia de presión constante entre el interior y el exterior.",La barrière à vapeur de nos fenêtres thermiquement innovantes assure une efficacité thermique élevée en empêchant l'infiltration de vapeur et en maintenant une différence de pression constante entre l'intérieur et l'extérieur.,ita_Latn,fra_Latn,barriera al vapore,es
"La barriera al vapore de nuestras finestre termicamente innovativas garantiza una elevada eficiencia termica, evitando la infiltración de vapor y manteniendo una diferencia de presión constante entre el interior y el exterior.",La barrera a vapor de nuestras ventanas termalmente innovadoras garantiza una alta eficiencia termodinámica al impidir la infiltración de vapor y manteniendo una diferencia de presión constante entre el interior y el exterior.,ita_Latn,spa_Latn,barriera al vapore,es
"(Italian sentence to address the thermal expansion of windows during installation: To ensure proper window performance and energy efficiency, correctly install the self-expanding belt at each joint.)","(English technical translation: To ensure proper window performance and energy efficiency, self-expanding belt must be installed correctly at every joint.)",ita_Latn,eng_Latn,nastro autoespandente,en
"(Italian sentence to address the thermal expansion of windows during installation: To ensure proper window performance and energy efficiency, correctly install the self-expanding belt at each joint.)",(French,ita_Latn,fra_Latn,nastro autoespandente,en
"(Italian sentence to address the thermal expansion of windows during installation: To ensure proper window performance and energy efficiency, correctly install the self-expanding belt at each joint.)","Para hacer frente a la expansión termal de las ventanas durante la instalación, es importante asegurarnos de colocar correctamente la cinta autoexpandible en cada unión.",ita_Latn,spa_Latn,nastro autoespandente,en
The installation of energy-efficient thermal windows requires the use of specific mounting screws to,The installation of energy-efficient thermal windows requires the use of specific mounting screws to ensure a reliable locking system and optimal thermal contact between the frame and the window.,ita_Latn,eng_Latn,vite di fissaggio,en
The installation of energy-efficient thermal windows requires the use of specific mounting screws to,L'installation de fenêtres thermiquement efficaces exige l'utilisation de vis de fixation spécifiques pour assurer un système de verrouillage fiable et un contact thermique optimal entre le cadre et la fenêtre.,ita_Latn,fra_Latn,vite di fissaggio,en
The installation of energy-efficient thermal windows requires the use of specific mounting screws to,La instalación de ventanas termalmente eficientes requiere el uso de taczas de fijación específicas para garantizar un sistema de fijación seguro y un contacto térmico óptimo entre el marco y la ventana.,ita_Latn,spa_Latn,vite di fissaggio,en
"The thermally insulated glass window, installed on a thick wall, must be connected to a thermal bridge to ensure thermal continuity and maximum","The thermally insulated glass window, installed on a thick wall, must be connected to a thermal bridge to ensure thermal continuity and maximum energy efficiency.",ita_Latn,eng_Latn,ponte termico,en
"The thermally insulated glass window, installed on a thick wall, must be connected to a thermal bridge to ensure thermal continuity and maximum","La fenêtre à verre isolant thermiquement, installée sur un mur d'épaisseur importante, doit être reliée à un pont thermique pour assurer la continuité thermique et la plus grande efficacité énergétique.",ita_Latn,fra_Latn,ponte termico,en
"The thermally insulated glass window, installed on a thick wall, must be connected to a thermal bridge to ensure thermal continuity and maximum","La ventana con vidrios termalmente aislados, instalada en un muro de espesor importante, debe estar conectada a un puente termico para garantizar la continuidad termica y la mayor eficiencia energética.",ita_Latn,spa_Latn,ponte termico,en
[Italian Sentence],[English Technical Translation],ita_Latn,eng_Latn,ponte termico,en
[Italian Sentence],[French Technical Translation],ita_Latn,fra_Latn,ponte termico,en
[Italian Sentence],"La ventana termal de Roverplastik ofrece una excelente rendimiento termal, minimizando las pérdidas de calor y maximizando el ganancias de calor durante la instalación y el uso.",ita_Latn,spa_Latn,ponte termico,en
"(This Italian sentence translates to: ""The polymer thermoplastic window with a thermal bridge offers excellent thermal insulation, ensuring high energy efficiency in construction."")","The polymer thermoplastic window with a thermal bridge offers excellent thermal insulation, ensuring high energy efficiency in construction.",ita_Latn,eng_Latn,ponte termico,en
"(This Italian sentence translates to: ""The polymer thermoplastic window with a thermal bridge offers excellent thermal insulation, ensuring high energy efficiency in construction."")","La fenêtre en plastique thermoplastique à vue, équipée d'un pont thermique, offre une excellente isolation thermique, assurant une haute efficacité énergétique dans la construction.",ita_Latn,fra_Latn,ponte termico,en
"(This Italian sentence translates to: ""The polymer thermoplastic window with a thermal bridge offers excellent thermal insulation, ensuring high energy efficiency in construction."")","La ventana de polímero termoplástico transparente con puente termico ofrece una excelente aislación térmica, garantizando una alta eficiencia energética en la construcción.",ita_Latn,spa_Latn,ponte termico,en
"La ventana de Roverplastik, con una buena rendimiento de aislamiento térmico y un buen abbattimento acustico, ofrece una solución ideal para la reducción de la propagación indeseada de sonidos.",The Roverplastik window provides an optimal solution for sound insulation with excellent thermal insulation.,ita_Latn,eng_Latn,abbattimento acustico,es
"La ventana de Roverplastik, con una buena rendimiento de aislamiento térmico y un buen abbattimento acustico, ofrece una solución ideal para la reducción de la propagación indeseada de sonidos.","La fenêtre de Roverplastik, possédant une excellente isolation thermique et",ita_Latn,fra_Latn,abbattimento acustico,es
[Italian Sentence,"The laminated low-emissivity temperature insulating glass window, with additional acoustic insulation, offers excellent sound reduction, bringing noise penetration down to acceptable levels.",ita_Latn,eng_Latn,abbattimento acustico,en
[Italian Sentence,"La fenêtre en verre laminaire à faible émissivité thermique, à isolation sonore supplémentaire, offre une excellente réduction des bruits, réduisant ainsi la pénétration du bruit jusqu'à des niveaux acceptables.",ita_Latn,fra_Latn,abbattimento acustico,en
[Italian Sentence,"La ventana de vidrio laminado de baja emisividad termica, con aislamiento acustico adicional, ofrece una excelente reduccion de ruido, reduciendo la penetracion del ruido hasta niveles aceptables.",ita_Latn,spa_Latn,abbattimento acustico,en
(Italian),"(English) The installed window must ensure superior energy efficiency levels above the legislated requirements, reducing energy consumption for heating or cooling.",ita_Latn,eng_Latn,efficienza energetica,id
(Italian),(French) La fenêtre,ita_Latn,fra_Latn,efficienza energetica,id
(Italian),"La ventana instalada debe garantizar niveles superiores de eficiencia energética sobre las exigencias reglamentarias, reduciendo el consumo de energía para calefacción o acondicionamiento.",ita_Latn,spa_Latn,efficienza energetica,id
La finestra de alta performance de Roverplastik debe mantener una tenuta all'aria solida durante la instalación para garantizar la eficiencia energética.,"The high-performance Roverplastik window must maintain a solid ""air tightness"" during installation to ensure energy efficiency.",ita_Latn,eng_Latn,tenuta all'aria,es
La finestra de alta performance de Roverplastik debe mantener una tenuta all'aria solida durante la instalación para garantizar la eficiencia energética.,La fenêtre haute performance de Roverplastik doit maintenir une étanchéité solide à l'air pendant l'installation pour assurer l'efficacité énergétique.,ita_Latn,fra_Latn,tenuta all'aria,es
La finestra de alta performance de Roverplastik debe mantener una tenuta all'aria solida durante la instalación para garantizar la eficiencia energética.,La ventana de alta rendimiento de Roverplastik debe mantener una estanqueidad sólida al aire durante la instalación para garantizar la eficiencia energética.,ita_Latn,spa_Latn,tenuta all'aria,es
The airtight seal of Roverplastik's filled glass windows ensures excellent thermal performance by keeping the contested air inside and preventing,The airtight seal of Roverplastik's filled glass windows ensures excellent thermal performance by keeping the contested air inside and preventing heat loss.,ita_Latn,eng_Latn,tenuta all'aria,en
The airtight seal of Roverplastik's filled glass windows ensures excellent thermal performance by keeping the contested air inside and preventing,La tenue à l'air de la verrière pleine de fenêtres Roverplastik assure une excellente performance thermique en maintenant l'air souhaité à l'intérieur et en empêchant la fuite de chaleur.,ita_Latn,fra_Latn,tenuta all'aria,en
The airtight seal of Roverplastik's filled glass windows ensures excellent thermal performance by keeping the contested air inside and preventing,La estanqueidad aire de las ventanas de vidrio rellenas de Roverplastik ofrece una excelente rendimiento termal al mantener el aire interno y evitando la pérdida de calor.,ita_Latn,spa_Latn,tenuta all'aria,en
(Italian),The Roverplastik insulating glass window must be installed with an adequate waterproof seal to ensure thermal insulation and hydrostatic resistance.,ita_Latn,eng_Latn,tenuta all'acqua,id
(Italian),La fenêtre en verre isolant de Roverplastik doit être installée avec une étanchéité à l'eau adéquate pour assurer l'isolation thermique et la résistance à la pression hydrostatique.,ita_Latn,fra_Latn,tenuta all'acqua,id
(Italian),La ventana de vidrio aislante de Roverplastik debe instalarse con una tapicería a prueba de agua adecuada para garantizar la aislación térmica y la resistencia a la presión hidrostática.,ita_Latn,spa_Latn,tenuta all'acqua,id
[Italian Sentence],"The high-performance Roverplastik window must be installed with care, considering the external wind load, to ensure maximum thermal efficiency and acoustic insulation.",ita_Latn,eng_Latn,carico del vento,en
[Italian Sentence],"La fenêtre haute performance de Roverplastik doit être installée avec prudence, en tenant compte du chargement du vent extérieur, pour assurer une efficacité thermique maximale et une isolation acoustique optimale.",ita_Latn,fra_Latn,carico del vento,en
[Italian Sentence],"La ventana de alto rendimiento Roverplastik debe instalarse con cuidado, teniendo en cuenta la carga del viento externa, para garantizar una eficiencia tèrmica máxima y una aislamiento acústico óptimo.",ita_Latn,spa_Latn,carico del vento,en
"La finestra de alta performance de Roverplastik debe essere installata con precauzione, tenendo conto del carico del vento, per garantire una elevada eficiencia energetica in condiciones de vientos elevados.","The Roverplastik high-performance window should be installed with care, considering wind load, to ensure high energy efficiency under high wind conditions.",ita_Latn,eng_Latn,carico del vento,es
"La finestra de alta performance de Roverplastik debe essere installata con precauzione, tenendo conto del carico del vento, per garantire una elevada eficiencia energetica in condiciones de vientos elevados.","La fenêtre haute performance de Roverplastik doit être installée avec précaution, en tenant compte du chargement du vent, pour assurer une forte efficacité énergétique dans des conditions de vents forts.",ita_Latn,fra_Latn,carico del vento,es
"La finestra de alta performance de Roverplastik debe essere installata con precauzione, tenendo conto del carico del vento, per garantire una elevada eficiencia energetica in condiciones de vientos elevados.","La ventana de alto rendimiento de Roverplastik debe instalarse con cuidado, teniendo en cuenta la carga del viento, para garantizar una alta eficiencia energética en condiciones de vientos elevados.",ita_Latn,spa_Latn,carico del vento,es
"La finestra de alta efficacia energetica de Roverplastik debe essere installata conforme alla norma EN 13051, tenendo conto del carico del vento especifico e della velocidad del viento prevista en el sitio de instalación.","The Roverplastik high energy efficiency window must be installed according to EN 13051 standard, considering the specific wind load and wind speed at the installation site.",ita_Latn,eng_Latn,carico del vento,es
"La finestra de alta efficacia energetica de Roverplastik debe essere installata conforme alla norma EN 13051, tenendo conto del carico del vento especifico e della velocidad del viento prevista en el sitio de instalación.","La fenêtre de haute efficacité énergétique de Roverplastik doit être installée en conformité avec la norme EN 13051, en tenant compte du chargement du vent spécifique et de la vitesse du vent prévue sur le site d'installation.",ita_Latn,fra_Latn,carico del vento,es
"La finestra de alta efficacia energetica de Roverplastik debe essere installata conforme alla norma EN 13051, tenendo conto del carico del vento especifico e della velocidad del viento prevista en el sitio de instalación.","La ventana de alta eficiencia energética de Roverplastik debe instalarse según la norma EN 13051, teniendo en cuenta el peso específico del viento y la velocidad del viento prevista en el sit",ita_Latn,spa_Latn,carico del vento,es
[Italian Sentence],[English Technical Translation],ita_Latn,eng_Latn,carico del vento,en
[Italian Sentence],[French Technical Translation],ita_Latn,fra_Latn,carico del vento,en
[Italian Sentence],[Spanish Technical Translation],ita_Latn,spa_Latn,carico del vento,en
"[Italian context: During the installation of the windows, it is important to ensure proper insulation, as well as to minimize the risk of condensation on the glass surfaces. The surface condensation technology",The laminated glass window with Surface Condensation Technology offers excellent thermal insulation and significantly reduces condensation on the glass surface.,ita_Latn,eng_Latn,condensa superficiale,en
"[Italian context: During the installation of the windows, it is important to ensure proper insulation, as well as to minimize the risk of condensation on the glass surfaces. The surface condensation technology",La fenêtre en verre laminaire à technologie Condensa Superficiale offre une excellente isothérapie thermique et réduit de manière notable la formation de brume sur la surface des verres.,ita_Latn,fra_Latn,condensa superficiale,en
"[Italian context: During the installation of the windows, it is important to ensure proper insulation, as well as to minimize the risk of condensation on the glass surfaces. The surface condensation technology",La ventana de vidrio laminaado con la tecnología Condensa Superficial ofrece una excelente aislamiento termal y reduce notablemente la formación de gotas sobre la superficie de los vidros.,ita_Latn,spa_Latn,condensa superficiale,en
"La finestra in vetro termico de nuestra gamma presenta una condensa superficiale minima, garantendo una elevada eficiencia termica.","Our thermally insulated window has a minimum surface condensation, ensuring high thermal efficiency.",ita_Latn,eng_Latn,condensa superficiale,es
"La finestra in vetro termico de nuestra gamma presenta una condensa superficiale minima, garantendo una elevada eficiencia termica.","La fenêtre en verre isolant de notre gamme présente une condensation superficielle minimale, assure une haute efficacité thermique.",ita_Latn,fra_Latn,condensa superficiale,es
"La finestra in vetro termico de nuestra gamma presenta una condensa superficiale minima, garantendo una elevada eficiencia termica.","La ventana de vidrio aislante de nuestra gama presenta una condensación superficial mínima, lo que garantiza una alta eficiencia termal.",ita_Latn,spa_Latn,condensa superficiale,es
(Italian sentence): The high energy efficiency window of Roverplastik must be installed with the appropriate edge insulation to ensure good thermal performance.,(English technical translation): The Roverplastik high energy efficiency window must be installed with appropriate insulation at the edge to ensure good thermal performance.,ita_Latn,eng_Latn,isolamento a cappotto,en
(Italian sentence): The high energy efficiency window of Roverplastik must be installed with the appropriate edge insulation to ensure good thermal performance.,(F,ita_Latn,fra_Latn,isolamento a cappotto,en
