source_text,target_text,source_lang,target_lang,origin
"ROKA-RUBO è adatto a ogni muratura e disponibile nelle forme classiche ad arco rotondo, ribassato, doppio oppure di segmento.","ROKA-RUBO is suitable for any masonry and available in the classic round-arch, recessed, double, or segmented forms.",ita_Latn,eng_Latn,pdf_mining
"ROKA-RUBO è adatto a ogni muratura e disponibile nelle forme classiche ad arco rotondo, ribassato, doppio oppure di segmento.","Le ROKA-RUBO est adapté à toute maçonnerie et disponible dans les formes classiques à arc en plein-cintre, creuse, double ou segmentées.",ita_Latn,fra_Latn,pdf_mining
"ROKA-RUBO è adatto a ogni muratura e disponibile nelle forme classiche ad arco rotondo, ribassato, doppio oppure di segmento.","El ROKA-RUBO es adecuado para cualquier mampostería y disponible en las formas clásicas de arco redondo, hundido, doble o segmentado.",ita_Latn,spa_Latn,pdf_mining
"Misura 1 Arco tondo: misura libera costruzione – 3 cm (larghezza) – 1,5 cm (altezza) = misura arco esterno arco ribassato: Misura libera costruzione – 1,5 cm (altezza) = misura arco esterno Misura 2 Misura libera costruzione = misura arco centrale Misura 3 Misura libera costruzione + 2 x 12,5 cm (imbotte muratura) = misura finita del cassonetto Rilevazione delle misure dell’arco tondo e ribassato.",Measurement 1 of the rounded arch: free construction measurement – 3 cm (width) – 1.5 cm (height) = measurement of the external arch of the sunken arch: free construction measurement – 1.5 cm (height) = measurement of the external arch. Measurement 2: free construction measurement = measurement of the central arch. Measurement 3: free construction measurement + 2 x 12.5 cm (masonry thickness) = finished measurement of the cabinet. Measuring the dimensions of the rounded and sunken arch.,ita_Latn,eng_Latn,pdf_mining
"Misura 1 Arco tondo: misura libera costruzione – 3 cm (larghezza) – 1,5 cm (altezza) = misura arco esterno arco ribassato: Misura libera costruzione – 1,5 cm (altezza) = misura arco esterno Misura 2 Misura libera costruzione = misura arco centrale Misura 3 Misura libera costruzione + 2 x 12,5 cm (imbotte muratura) = misura finita del cassonetto Rilevazione delle misure dell’arco tondo e ribassato.","Mesure 1 de l'arc en plein sens: mesure libre de construction – 3 cm (largeur) – 1,5 cm (hauteur) = mesure de l'arc externe de l'arc bombé: mesure libre de construction – 1,5 cm (hauteur) =",ita_Latn,fra_Latn,pdf_mining
"Grazie alla superficie predisposta, gli elementi sono facili da intonacare e da integrare alla facciata.","""Thanks to the prepared surface, the elements are easy to plaster and integrate into the facade.""",ita_Latn,eng_Latn,pdf_mining
"Grazie alla superficie predisposta, gli elementi sono facili da intonacare e da integrare alla facciata.","""Grâce à la surface prête, les éléments sont faciles à enduire et à intégrer dans la façade.""",ita_Latn,fra_Latn,pdf_mining
"Grazie alla superficie predisposta, gli elementi sono facili da intonacare e da integrare alla facciata.","""Gracias a la superficie preparada, los elementos son fáciles de encalar y de integrar en la fachada.""",ita_Latn,spa_Latn,pdf_mining
* Copertura solo per ROKA-VARIO-WDVS (VW) * Copertura solo per ROKA-VARIO-WDVS (VW) 10 L’immagine mostra ROKA-OUTSIDE con sistema composito di isolamento termico 11 ROKA-OUTSIDE Possibile per ogni tipo di muratura!,ROKA-OUTSIDE is,ita_Latn,eng_Latn,pdf_mining
* Copertura solo per ROKA-VARIO-WDVS (VW) * Copertura solo per ROKA-VARIO-WDVS (VW) 10 L’immagine mostra ROKA-OUTSIDE con sistema composito di isolamento termico 11 ROKA-OUTSIDE Possibile per ogni tipo di muratura!,Couverture unique pour ROKA-VARIO-WDVS (VW) - L'image montre ROKA-OUTSIDE avec système composite d'isolation thermique,ita_Latn,fra_Latn,pdf_mining
* Copertura solo per ROKA-VARIO-WDVS (VW) * Copertura solo per ROKA-VARIO-WDVS (VW) 10 L’immagine mostra ROKA-OUTSIDE con sistema composito di isolamento termico 11 ROKA-OUTSIDE Possibile per ogni tipo di muratura!,Cubierta solo para ROKA-VARIO-WDVS (VW) - La imagen muestra ROKA-OUTSIDE con sistema compuesto de aislamiento termico,ita_Latn,spa_Latn,pdf_mining
Argomento casa passiva L’eccezionale isolamento del cassonetto ROKA-OUTSIDE lo rende particolarmente adatto al montaggio in case passive.,Subject: Passive House The exceptional insulation of the ROKA-OUTSIDE cabinet makes it particularly suitable for mounting in a passive house.,ita_Latn,eng_Latn,pdf_mining
Argomento casa passiva L’eccezionale isolamento del cassonetto ROKA-OUTSIDE lo rende particolarmente adatto al montaggio in case passive.,Objet: Maison passive La remarquable isolation du boîtier ROKA-OUTSIDE la rend particulièrement adaptée à l'installation dans une maison passive.,ita_Latn,fra_Latn,pdf_mining
Argomento casa passiva L’eccezionale isolamento del cassonetto ROKA-OUTSIDE lo rende particolarmente adatto al montaggio in case passive.,Tema: Casa pasiva La excepcional aislamiento del gabinete ROKA-OUTSIDE la hace particularmente adecuada para su instalación en una casa pasiva.,ita_Latn,spa_Latn,pdf_mining
ROKA-OUTSIDE è disponibile nelle misure e con una struttura esterna predisposta per l’ottimale adesione dell’intonaco.,The ROKA-OUTSIDE is available in various sizes and with an external structure designed for optimal adhesion of the plaster.,ita_Latn,eng_Latn,pdf_mining
A Larghezza cassonetto (mm) 300 fino a 345 fino a 365 fino a 425 fino a 500 B Altezza cassonetto (mm) 250 250 250 250 250 C Larghezza vano avvolgibile (mm) 180 180 180 180 180 D Blocco isolante interno (mm) 93 fino a 138 fino a 158 fino a 218 fino a 293 Ideale per case passive e a basso consumo energetico ROKA-OUTSIDE ROKA-OUTSIDE è il professionista dell’isolamento termico di Beck+Heun.,"""Width of the cabinet (mm): 300 to 345, 365 to 425, 500",ita_Latn,eng_Latn,pdf_mining
A Larghezza cassonetto (mm) 300 fino a 345 fino a 365 fino a 425 fino a 500 B Altezza cassonetto (mm) 250 250 250 250 250 C Larghezza vano avvolgibile (mm) 180 180 180 180 180 D Blocco isolante interno (mm) 93 fino a 138 fino a 158 fino a 218 fino a 293 Ideale per case passive e a basso consumo energetico ROKA-OUTSIDE ROKA-OUTSIDE è il professionista dell’isolamento termico di Beck+Heun.,"""Largeur du cabinet (mm) : 300 à 345, 365 à 42",ita_Latn,fra_Latn,pdf_mining
"5 1 Isolamento termico del cassonetto dell’avvolgibile - conforme al DIN 4108 foglio allegato 2:2006-03 2 Margine isolato e zona di appoggio Resistenza termica R > 0,55 m2K/W e dissociazione acustica dalla muratura 3 Raccordo telaio completamente isolato (solo per ROKA-THERM-RG) 4 Sistema di guide avvolgibili in due parti, apertura di montaggio 80 mm, colore a scelta adeguato all’installazione 5 Profilo di rinforzo per fissaggio finestra A scelta, disponibile con rinforzo 6 Profilo avvolgibile oppure zanzariera Il profilo in alluminio chiude la fenditura tra tapparella e traverso della finestra: Applicabile a richiesta nel medesimo vano anche la zanzariera 1 2 3 4 5 6 L’immagine mostra ROKA-THERM-RG in muratura monolitica 6 L’affidabile modello di base ROKA-THERM L’affidabile modello di base ROKA-THERM convince non solo per la sua forma sicura e stabile.",1. Thermal insulation of the ROKA-THERM-RG cabinet - in accordance with DIN 4108 leaf attached 2006-03-02,ita_Latn,eng_Latn,pdf_mining
"5 1 Isolamento termico del cassonetto dell’avvolgibile - conforme al DIN 4108 foglio allegato 2:2006-03 2 Margine isolato e zona di appoggio Resistenza termica R > 0,55 m2K/W e dissociazione acustica dalla muratura 3 Raccordo telaio completamente isolato (solo per ROKA-THERM-RG) 4 Sistema di guide avvolgibili in due parti, apertura di montaggio 80 mm, colore a scelta adeguato all’installazione 5 Profilo di rinforzo per fissaggio finestra A scelta, disponibile con rinforzo 6 Profilo avvolgibile oppure zanzariera Il profilo in alluminio chiude la fenditura tra tapparella e traverso della finestra: Applicabile a richiesta nel medesimo vano anche la zanzariera 1 2 3 4 5 6 L’immagine mostra ROKA-THERM-RG in muratura monolitica 6 L’affidabile modello di base ROKA-THERM L’affidabile modello di base ROKA-THERM convince non solo per la sua forma sicura e stabile.",,ita_Latn,fra_Latn,pdf_mining
Lunghezza cassonetto: misura libera Sistema STANDARD Senza sporgenza laterale e senza arretramento.,"Length of the cabinet: free measurement, STANDARD SYSTEM, without lateral projection and without rear overhang.",ita_Latn,eng_Latn,pdf_mining
Lunghezza cassonetto: misura libera Sistema STANDARD Senza sporgenza laterale e senza arretramento.,"Longueur du cabinet : mesure libre, Système STANDARD, sans surplomb latéral et sans retrait arrière.",ita_Latn,fra_Latn,pdf_mining
Lunghezza cassonetto: misura libera Sistema STANDARD Senza sporgenza laterale e senza arretramento.,"Longitud del gabinete: medida libre, Sistema STANDARD, sin sobrante lateral y sin retracción posterior.",ita_Latn,spa_Latn,pdf_mining
"Nei cassonetti moderni, l’espressione “efficienza energetica” ha un significato determinante.","In modern cabinets, the term ""energy efficiency"" has a determinant meaning.",ita_Latn,eng_Latn,pdf_mining
È inoltre possibile avere il sistema completo di isolamento termico come elemento autoportante con inserto Platinum.,It is also possible to have a complete thermal insulation system as a self-supporting element with a Platinum insert.,ita_Latn,eng_Latn,pdf_mining
"I valori dei ponti termici (ψ Psi) fino a 0,02 W/(mK), semplificano enormemente la progettazione con cassonetti in una casa passiva.","""The thermal bridge values (ψ) up to 0.02 W/(mK) significantly simplify the design with thermal flanges in a passive house.""",ita_Latn,eng_Latn,pdf_mining
"I valori dei ponti termici (ψ Psi) fino a 0,02 W/(mK), semplificano enormemente la progettazione con cassonetti in una casa passiva.","""Les valeurs des ponts thermiques (ψ) jusqu'à 0,02 W/(mK) simplifient enormément le design avec des boites noires dans une maison passive.""",ita_Latn,fra_Latn,pdf_mining
"I valori dei ponti termici (ψ Psi) fino a 0,02 W/(mK), semplificano enormemente la progettazione con cassonetti in una casa passiva.","""Los valores de los puentes termales (ψ) hasta 0,02 W/(mK) simplifican significantemente el diseño con termoplanchas en una casa pasiva.""",ita_Latn,spa_Latn,pdf_mining
"Profilo di rinforzo Lo speciale profilo di rinforzo in PVC è integrato di serie nei cunei isolanti dei nostri cassonetti per avvolgibili (RG) chiusi su lato ambiente e, a richiesta, può essere equipag- giato di gabbia in acciaio.","The special PVC reinforcing profile is integrated by default in the insulating caskets of our wrappable tanks (RG) with an environmental side, and upon request, can be equipped with a steel cage.",ita_Latn,eng_Latn,pdf_mining
"Profilo di rinforzo Lo speciale profilo di rinforzo in PVC è integrato di serie nei cunei isolanti dei nostri cassonetti per avvolgibili (RG) chiusi su lato ambiente e, a richiesta, può essere equipag- giato di gabbia in acciaio.","Le profile de renforcement spécial en PVC est intégré par défaut dans les réservoirs isolants de nos bacs pliables (RG) à côté environnement et, à la demande, peut être équipé d'une cage en acier.",ita_Latn,fra_Latn,pdf_mining
"Profilo di rinforzo Lo speciale profilo di rinforzo in PVC è integrato di serie nei cunei isolanti dei nostri cassonetti per avvolgibili (RG) chiusi su lato ambiente e, a richiesta, può essere equipag- giato di gabbia in acciaio.","El perfil de refuerzo especial en PVC está integrado por defecto en los depósitos aislados de nuestros tanques pliegables (RG) en el lado ambiente, y a petición, puede ser equipado con una jaula de acero.",ita_Latn,spa_Latn,pdf_mining
"I prodotti elencati possono quindi essere usati nella verifica forfettaria dei ponti termici secondo il regola- mento sul risparmio energetico EnEV 2009 ΔUWB = 0,05 W/(m²K) alternativamente con corrispondente foglio allegato 2 della direttiva.","The listed products can therefore be used in the thermal bridge check of bridges according to the EnEV 2009 regulation, alternatively with the corresponding attached leaflet 2 of the directive.",ita_Latn,eng_Latn,pdf_mining
"I prodotti elencati possono quindi essere usati nella verifica forfettaria dei ponti termici secondo il regola- mento sul risparmio energetico EnEV 2009 ΔUWB = 0,05 W/(m²K) alternativamente con corrispondente foglio allegato 2 della direttiva.","Les produits répertoriés peuvent donc être utilisés dans la vérification des ponts thermiques des ponts thermiques en application de la règle EnEV 2009, alternativement avec le feuille jointe n°2 de la directive.",ita_Latn,fra_Latn,pdf_mining
"I prodotti elencati possono quindi essere usati nella verifica forfettaria dei ponti termici secondo il regola- mento sul risparmio energetico EnEV 2009 ΔUWB = 0,05 W/(m²K) alternativamente con corrispondente foglio allegato 2 della direttiva.","Los productos enumerados pueden, por lo tanto, ser utilizados en la verificación de puentes termales de puentes termales en virtud de la norma EnEV 2009, alternativamente con el hoja adjunta N.º 2 de la directiva.",ita_Latn,spa_Latn,pdf_mining
"Naturalmente, i suoi desideri rispetto ai colori RAL e alle guide non rappresentano alcun problema.","""Naturally, his wishes regarding RAL colors and guides pose no problem.""",ita_Latn,eng_Latn,pdf_mining
"Naturalmente possiamo fornire l’accessorio, fin dove tecnica- mente possibile, anche montato nei nostri cassonetti.","Naturally, we can provide the accessory, as far as technically possible, even mounted in our tanks.",ita_Latn,eng_Latn,pdf_mining
"L’immagine mostra ROKA-H con cassaforma esterna maggiorata (opzionale) 13 ROKA-H Ispezione dall’interno ROKA-H-RG Chiuso su lato ambiente ROKA-H ROKA-H 30 ROKA-H 36,5 A Larghezza cassonetto (mm) 300 365 B Altezza cassonetto (mm) 250 250 C Spessore lato interno (mm) 40 70 D Larghezza libera (mm) 233 268 E Altezza libera (mm) 192 192 F Vano avvolgibile (mm) 190 190 G Altezza interna cassaforma (mm) 125* 125* H Altezza esterna cassaforma (mm) 125* 125* ROKA-H-PLATINUM® Standard: rifinitura PLATINUM® con inserimento lamiera profilata in acciaio Sistema PERFEKT Con sporgenza laterale della cassaforma e testate laterali arretrate dalla zona di appoggio.",The image shows ROKA-H with an optional external enlarged cabinet (13 ROKA-H Inspection) ROKA-H-RG Closed on environmental side ROKA-H ROKA-H 30 ROKA-H 36.5 A Width of cabinet (mm) 300 365 B Height of cabinet (mm) 250 250 C Inner wall thickness (mm) 40 70 D Free width (mm) 233 268 E Free height (mm) 192 192 F Wrap-around van (mm) 190 190 G Internal height of cabinet (mm) 125* 125* H External height of cabinet (mm) 125* 125* ROKA-H-PLAT,ita_Latn,eng_Latn,pdf_mining
"Grazie alla schiuma rigida di polistirolo altamente isolante λ= 0,035 W/(mK) – B1 e allo speciale processo di produzione, si raggiunge una qualità eccellente di isolamento e di protezione acustica.","""Thanks to the rigid polystyrene foam insulation λ= 0.035 W/(mK) – B1 and the special production process, excellent insulation and acoustic protection are achieved.""",ita_Latn,eng_Latn,pdf_mining
"Grazie alla schiuma rigida di polistirolo altamente isolante λ= 0,035 W/(mK) – B1 e allo speciale processo di produzione, si raggiunge una qualità eccellente di isolamento e di protezione acustica.","""Grâce à l'isolation en mousse rigide de polystyrene λ = 0,035 W/(mK) – B1 et au procédé de production spécial, une excellente qualité d'isolation et de protection acoustique est atteinte.""",ita_Latn,fra_Latn,pdf_mining
"Grazie alla schiuma rigida di polistirolo altamente isolante λ= 0,035 W/(mK) – B1 e allo speciale processo di produzione, si raggiunge una qualità eccellente di isolamento e di protezione acustica.","""Gracias a la moussedura rígida de poliestireno λ = 0,035 W/(mK) – B1 y al proceso de producción especial, se logra una excelente calidad de aislamiento y protección acústica.""",ita_Latn,spa_Latn,pdf_mining
Qui può scegliere la guida adatta.,Who can choose the suitable guide.,ita_Latn,eng_Latn,pdf_mining
"Con i futuristici cassonetti di Beck+Heun, è possibile colmare tutte queste esigenze nella migliore qualità del Made in Germany.","""With Beck+Heun's futuristic cabinets, all these needs can be met in the best quality of 'Made in Germany'.""",ita_Latn,eng_Latn,pdf_mining
"Con i futuristici cassonetti di Beck+Heun, è possibile colmare tutte queste esigenze nella migliore qualità del Made in Germany.","""Avec les cabinets futuristes de Beck+Heun, il est possible de répondre à toutes ces exigences dans la meilleure qualité du 'Fabriqué en Allemagne'.""",ita_Latn,fra_Latn,pdf_mining
"Con i futuristici cassonetti di Beck+Heun, è possibile colmare tutte queste esigenze nella migliore qualità del Made in Germany.","""Con los modernos estantes de Beck+Heun, se pueden satisfacer todas estas necesidades en la mejor calidad de 'Hecho en Alemania'.""",ita_Latn,spa_Latn,pdf_mining
Alta efficienza energetica I cassonetti per avvolgibili di Beck+Heun rispet- tano le caratteristiche dei ponti termici secondo il DIN 4108 - foglio allegato 2:2006-03.,"""Beck+Heun's wrap-around tanks have high energy efficiency, complying with the thermal bridge characteristics as per DIN 4108 - sheet 2006-03.""",ita_Latn,eng_Latn,pdf_mining
Alta efficienza energetica I cassonetti per avvolgibili di Beck+Heun rispet- tano le caratteristiche dei ponti termici secondo il DIN 4108 - foglio allegato 2:2006-03.,"""Les réservoirs tournants Beck+Heun ont une haute efficacité énergétique et respectent les caractéristiques des ponts thermiques conformément à DIN 4108 - feuille annexée 2006-03.""",ita_Latn,fra_Latn,pdf_mining
Alta efficienza energetica I cassonetti per avvolgibili di Beck+Heun rispet- tano le caratteristiche dei ponti termici secondo il DIN 4108 - foglio allegato 2:2006-03.,"""Las tanqueras giratorias de Beck+Heun tienen alta eficiencia energética y respetan las características de los puentes termales según DIN 4108 - hoja adjunta 2006-03.""",ita_Latn,spa_Latn,pdf_mining
"Lunghezza cassonetto: misura libera + 22 cm di rivestimento cassonetto (11 cm per lato) + 36 cm di rivestimento architrave (18 cm per lato) + Rivestimento cassonetto da 22 cm (11 cm per lato) 27 D C A 27 E 31 B G ø F 35 35/50** H ROKA-H-RG ROKA-H-RG 30 ROKA-H-RG 36,5 A Larghezza cassonetto (mm) 300 365 B Altezza cassonetto (mm) 250 250 C Spessore lato interno (mm) 40 70 D Dämmkeil Breite (mm) 153 188 E Altezza libera (mm) 198 198 F Vano avvolgibile (mm) 190 190 G Altezza interna cassaforma (mm) 125* 125* H Altezza esterna cassaforma (mm) 125* 125* ROKA-H-RG-PLATINUM® Standard: rifinitura PLATINUM® con inserimento lamiera profilata in acciaio 27 D C A 80 27 E G B 25 ø F 35 35/50** H Attenzione: tutte le misure sono approssimative e sono soggette a tolleranza; i materiali naturali e i prodotti in polistirolo presentano per questo un diverso grado di raffreddamento e indurimento.",Length of cabinet: free measurement + 22 cm for cabinet trimming (11 cm per side) + 36 cm for architrave trimming (18 cm per side) + 22 cm for cabinet trimming (11 cm per side) 27 D C A 27 E 31 B G ø F 35 35/50** H ROKA-H-RG ROKA-H-RG 30 ROKA-H-RG 36.5 A Width of cabinet (mm) 300 365 B Height of cabinet (mm) 250 250 C Thickness of inner wall (mm) 40 70 D Thickness of insulation (mm) 153 188 E Height of free space (mm) 198 198 F,ita_Latn,eng_Latn,pdf_mining
"Appoggio sulla muratura Durante la fase di costruzione, i cassonetti per avvolgibili vengono applicati alla muratura facilmente e velocemente.","""During the construction phase, the wrap-around boxes are easily and quickly applied to the masonry by supporting on it.""",ita_Latn,eng_Latn,pdf_mining
"Appoggio sulla muratura Durante la fase di costruzione, i cassonetti per avvolgibili vengono applicati alla muratura facilmente e velocemente.","""Pendant la phase de construction, les boîtes pliables sont facilement et rapidement appliquées sur la muraille en les appuyant dessus.""",ita_Latn,fra_Latn,pdf_mining
"Appoggio sulla muratura Durante la fase di costruzione, i cassonetti per avvolgibili vengono applicati alla muratura facilmente e velocemente.","""Durante la fase de construcción, los contenedores pliegables se aplican fácilmente y rápidamente a la pared, apoyándolos sobre ella.""",ita_Latn,spa_Latn,pdf_mining
"L’appoggio standard su muratura è di 125 mm per lato, oppure più corto su richiesta (esclusa manovra a cinghia).","The standard support on masonry is 125 mm on each side, or shorter upon request (excluding belt drive operation).",ita_Latn,eng_Latn,pdf_mining
A partire dal semplice foro di passaggio della cinghia fino a sistemi di zanzariere di alta qualità.,From a simple belt passage hole up to high-quality zoning systems.,ita_Latn,eng_Latn,pdf_mining
La sezione Accessori è puramente informativa e non presenta la gamma completa degli accessori.,"""The Accessories section is purely informative and does not feature the complete range of accessories.""",ita_Latn,eng_Latn,pdf_mining
La sezione Accessori è puramente informativa e non presenta la gamma completa degli accessori.,"""La section Accessoires est purement informative et ne présente pas l'ensemble complet des accessoires.""",ita_Latn,fra_Latn,pdf_mining
La sezione Accessori è puramente informativa e non presenta la gamma completa degli accessori.,"""La sección de Accesorios es puramente informativa y no presenta el catálogo completo de accesorios.""",ita_Latn,spa_Latn,pdf_mining
ROKA-OUTSIDE in dettaglio Nastro perforato Max.,ROKA-OUTSIDE Detailed Perforated Tape Max.,ita_Latn,eng_Latn,pdf_mining
Verificare con attenzione la brochure separata degli accessori.,Pay close attention to check the separate catalog of accessories.,ita_Latn,eng_Latn,pdf_mining
Su richiesta può ottenere maggiori informazioni e valori di prova.,"Upon your request, you can obtain more information and test values.",ita_Latn,eng_Latn,pdf_mining
La zona di appoggio può variare a seconda del tipo di azionamento e di cassonetto.,The support zone can vary depending on the type of actuation and of the container.,ita_Latn,eng_Latn,pdf_mining
"= altezza arco interno Tipo 2 con taglio muratura: Altezza arco centrale + 12,5 cm variazione max.",Height of Type 2 internal arch with masonry cut: Central arch height + 12.5 cm maximum variation.,ita_Latn,eng_Latn,pdf_mining
"= altezza arco interno Tipo 2 con taglio muratura: Altezza arco centrale + 12,5 cm variazione max.","Hauteur de l'arc intérieur Type 2 avec coupe maçonnerie : Hauteur de l'arc central + 12,5 cm de variation maximale.",ita_Latn,fra_Latn,pdf_mining
"= altezza arco interno Tipo 2 con taglio muratura: Altezza arco centrale + 12,5 cm variazione max.","Altura de arco interior Tipo 2 con cortesía de mampostería: Altura del arco central + 12,5 cm de variación máxima.",ita_Latn,spa_Latn,pdf_mining
"Sia come protezione da sguardi curiosi, sia come semplice prote- zione dallo scasso, la lista dei vantaggi è lunga.","""Whether as protection from curious glances or simply as protection from damage, the list of advantages is long.""",ita_Latn,eng_Latn,pdf_mining
"Sia come protezione da sguardi curiosi, sia come semplice prote- zione dallo scasso, la lista dei vantaggi è lunga.","""Mais soit comme protection contre les regards curieux, soit simplement comme protection contre les chocs, la liste des avantages est longue.""",ita_Latn,fra_Latn,pdf_mining
"Sia come protezione da sguardi curiosi, sia come semplice prote- zione dallo scasso, la lista dei vantaggi è lunga.","""Puede ser protección contra miradas curiosas, o simplemente protección contra el daño, la lista de ventajas es larga.""",ita_Latn,spa_Latn,pdf_mining
È possibile ordinare ROKA-VARIO a scelta con una gabbia metallica interna da 3 mm oppure nolla variante Platinum con inserto in speciale lamiera profilata.,It is possible to order ROKA-VARIO with an internal 3 mm metallic cage or the Platinum variant with a special profiled sheet insert.,ita_Latn,eng_Latn,pdf_mining
È possibile ordinare ROKA-VARIO a scelta con una gabbia metallica interna da 3 mm oppure nolla variante Platinum con inserto in speciale lamiera profilata.,Il ROKA-VARIO est disponible avec une cage intérieure en acier de 3 mm ou la version Platinum avec un insert spécifique en lamieré profilé.,ita_Latn,fra_Latn,pdf_mining
È possibile ordinare ROKA-VARIO a scelta con una gabbia metallica interna da 3 mm oppure nolla variante Platinum con inserto in speciale lamiera profilata.,Es puede ordenarse ROKA-VARIO con una jaula interior de acero de 3 mm o con la versión Platinum con un insertar especial en lámina perfilada.,ita_Latn,spa_Latn,pdf_mining
"I valori testati di isolamento acustico, dai 38 ai 50 dB, offrono la soluzione adeguata ad ogni situazione.","The acoustic insulation values, from 38 to 50 dB, provide the suitable solution for every situation.",ita_Latn,eng_Latn,pdf_mining
"I valori testati di isolamento acustico, dai 38 ai 50 dB, offrono la soluzione adeguata ad ogni situazione.","Les valeurs de l'isolation acoustique mesurées, de 38 à 50 dB, offrent la solution adaptée à chaque situation.",ita_Latn,fra_Latn,pdf_mining
"I valori testati di isolamento acustico, dai 38 ai 50 dB, offrono la soluzione adeguata ad ogni situazione.","Los valores de aislamiento acústico medidos, de 38 a 50 dB, ofrecen la solución adecuada para cada situación.",ita_Latn,spa_Latn,pdf_mining
Tapparella avvolgibile Beck+Heun offre una gamma completa di tapparelle avvolgibili in PVC e alluminio.,Beck+Heun's foldable taps (covering) offers a complete range of foldable PVC and aluminum taps.,ita_Latn,eng_Latn,pdf_mining
Tapparella avvolgibile Beck+Heun offre una gamma completa di tapparelle avvolgibili in PVC e alluminio.,La gamme complète de couvercles pliables en PVC et alliage d'Aluminium de Beck+Heun offre des couvercles pliables.,ita_Latn,fra_Latn,pdf_mining
Tapparella avvolgibile Beck+Heun offre una gamma completa di tapparelle avvolgibili in PVC e alluminio.,La gama completa de tapones pliegables en PVC y aluminio de Beck+Heun ofrece tapones pliegables.,ita_Latn,spa_Latn,pdf_mining
Per la tapparella avvolgibile si deve prevedere uno spazio di avvolgimento sufficiente (aria).,"For the foldable cover, provide sufficient space (air) for wrapping.",ita_Latn,eng_Latn,pdf_mining
"Inoltre, i requisiti del cassonetto vengono adattati a ogni necessità di construzione.","In addition, the requirements of the cabinet are adapted to every construction need.",ita_Latn,eng_Latn,pdf_mining
"Inoltre, i requisiti del cassonetto vengono adattati a ogni necessità di construzione.","En plus, les exigences du boîtier sont adaptées à chaque besoin de construction.",ita_Latn,fra_Latn,pdf_mining
"Inoltre, i requisiti del cassonetto vengono adattati a ogni necessità di construzione.","Además, los requisitos del armario se ajustan a cada necesidad de construcción.",ita_Latn,spa_Latn,pdf_mining
Le misure reali (vano avvolgibile ecc.) sono da verificare.,"""Real measurements (including those that can be wrapped up, etc.) need to be verified.""",ita_Latn,eng_Latn,pdf_mining
